Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
Ryan Curry,JR,G,30,30,1010,7.7,19.4,0.399,4.4,12.7,0.347,3.3,6.7,0.496,0.512,3.8,4.7,0.813,0.9,6.2,7.1,8,1.8,0.2,3.9,4,23.7,112.3,115.2,
Jacen Holloway,SO,F,30,22,840,8.5,16.5,0.513,1.1,3.6,0.314,7.3,12.9,0.568,0.547,4.9,7.5,0.66,3.2,4.6,7.8,4.5,1,0.4,3.3,4.7,23,114.6,117.8,
Jackson Furman,FR,G,31,8,741,7.5,20.1,0.373,4.8,13.4,0.357,2.7,6.7,0.405,0.492,3,3.6,0.822,1.4,7,8.4,3.3,1.6,0.3,4.3,6.9,22.8,98,114.6,
Kevin McCarthy,SO,G,30,29,729,7,18.1,0.386,4.5,12.9,0.346,2.5,5.2,0.484,0.509,0.9,1.3,0.688,2.7,3.8,6.5,3,1.3,0.2,2.3,4.1,19.3,107,117.7,
Jaxson Bell,SO,G,29,7,729,8.6,20.5,0.419,4.2,11.4,0.371,4.4,9.2,0.478,0.522,7.1,8.8,0.798,2.7,8.9,11.6,3.6,2.5,0.4,4.8,5.6,28.5,109.1,111.2,
Tate Laczkowski,JR,F,31,30,665,6.2,11.6,0.538,0.8,2.8,0.29,5.4,8.8,0.616,0.573,1.1,2.7,0.4,4.5,10.1,14.6,5.3,2,1.3,3.1,6.6,14.3,112,110.5,
Jorn Everson,SR,F,31,26,586,9.6,22.4,0.428,3.4,10.9,0.315,6.2,11.5,0.535,0.505,1.2,1.9,0.632,3.2,3.9,7.2,2.9,0.9,0.5,2.1,3.9,23.8,107.6,118.3,
Joshua Eli,SO,F,28,0,409,5.9,12.9,0.461,1.7,3.3,0.522,4.2,9.6,0.439,0.528,4.1,6.5,0.622,6.7,8.1,14.8,3.5,1.6,0.3,1.3,4.9,17.7,128.9,114,
Alex Engro,SO,G,25,0,152,2.7,13.2,0.206,1.2,9.3,0.125,1.6,3.9,0.4,0.25,1.2,2.3,0.5,4.7,6.6,11.3,2.3,2.7,0.4,1.2,9.7,7.8,80.8,112,
Dillon Watt,FR,G,21,0,107,1.7,9.4,0.176,0,3.9,0,1.7,5.5,0.3,0.176,8.9,10.5,0.842,0.6,2.2,2.8,2.8,3.3,0,3.3,6.6,12.2,88,114.3,
Dylan Benner,FR,F,18,0,97,6.1,17.1,0.357,3.1,14,0.217,3.1,3.1,1,0.446,3.1,4.9,0.625,2.4,4.9,7.3,3.1,1.2,0.6,3.7,14,18.3,94.3,116.1,
Dayon Polk,SO,G,10,1,81,2.2,12.4,0.176,0.7,8.8,0.083,1.5,3.7,0.4,0.206,0,0,,3.7,5.1,8.8,4.4,5.8,0.7,6.6,5.8,5.1,51.6,105.8,
Jackson Mayo,SR,G,15,1,69,6.9,24.9,0.276,6.9,23.2,0.296,0,1.7,0,0.414,0.9,1.7,0.5,1.7,5.1,6.9,5.1,0.9,0,3.4,10.3,21.4,91.1,117.7,
Dylan Murans,SO,F,14,0,42,4.2,15.5,0.273,0,8.5,0,4.2,7,0.6,0.273,2.8,5.6,0.5,4.2,4.2,8.5,0,1.4,1.4,0,4.2,11.3,84,115.9,
Jahaan Green,FR,G,10,0,32,7.4,16.6,0.444,1.8,1.8,1,5.5,14.8,0.375,0.5,1.8,1.8,1,3.7,3.7,7.4,3.7,1.8,1.8,3.7,5.5,18.5,103.4,114.7,
Brendon O'Keefe,SO,G,8,0,22,8.1,24.2,0.333,8.1,16.1,0.5,0,8.1,0,0.5,0,0,,0,13.5,13.5,8.1,2.7,0,0,5.4,24.2,124.9,108.2,
Nnaemeka Ikechi,SO,F,3,0,15,0,7.9,0,0,3.9,0,0,3.9,0,0,0,0,,7.9,11.8,19.7,7.9,0,0,3.9,11.8,0,67.5,115,
Chanse Perkins,SR,F,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,